국가유산종목,문화재명(국문),문화재명(한자),시도명,시군구명,관리자,종목코드,시도코드,관리번호,경도,위도
보물,이덕성 초상 및 관련 자료 일괄,李德成 肖像 및 關聯 資料 一括,부산,남구,부산시립박물관,12,21,0015010000000,129.09414818121,35.1295217022496
보물,전 윤효전 초상,傳 尹孝全 肖像,대구,중구,윤＊＊＊,12,22,0015020000000,0,0
보물,임장 초상,任章 肖像,서울,서대문구,연세대학교박물관,12,11,0015030000000,126.9394838,37.5646597
보물,유언호 초상,兪彦鎬 肖像,서울,관악구,서울대학교 규장각,12,11,0015040000000,126.95045327355,37.4623506678375
보물,대구 동화사 사명당 유정 진영,大邱 桐華寺 泗溟堂 惟政 眞影,대구,동구,동화사,12,22,0015050000000,128.7036904,35.9933036
보물,순천 선암사 선각국사 도선 진영,順天 仙巖寺 先覺國師 道詵 眞影,전남광주,순천시,선암사,12,36,0015060000000,127.3309363,34.9966306
보물,광주 자운사 목조아미타여래좌상 및 복장유물,光州 紫雲寺 木造阿彌陀如來坐像 및 腹藏遺物,전남광주,동구,불상:자운사 복장:송광사,12,24,0015070000000,126.9413548,35.148085
보물,이성윤 위성공신교서 및 관련 유물,李誠胤 衛聖功臣敎書 및 關聯 遺物,인천,부평구,교＊＊＊,12,23,0015080000000,0,0
보물,허목 초상,許穆 肖像,서울,용산구,국립중앙박물관,12,11,0015090000000,0,0
보물,최익현 초상,崔益鉉 肖像,서울,용산구,국립중앙박물관,12,11,0015100000000,0,0
보물,국조정토록,國朝征討錄,경기,성남시,한국학중앙연구원,12,31,0015110000000,127.052183461948,37.3930295720453
보물,이십공신회맹축 - 영국공신녹훈후,二十功臣會盟軸 - 寧國功臣錄勳後,경기,성남시,한국학중앙연구원,12,31,0015120000000,127.052183461948,37.3930295720453
보물,대방광원각수다라요의경 권상1의1,大方廣圓覺修多羅了義經 卷上 一의一,경기,성남시,한국학중앙연구원,12,31,0015140000000,127.052183461948,37.3930295720453
보물,"대불정여래밀인수증요의제보살만행수능엄경 권2, 10","大佛頂如來密因修證了義諸菩薩萬行首楞嚴經 卷二, 十",경기,성남시,한국학중앙연구원,12,31,0015150000000,127.052183461948,37.3930295720453
보물,김제 귀신사 소조비로자나삼불좌상,金堤 歸信寺 塑造毘盧遮那三佛坐像,전북,김제시,귀신사,12,35,0015160000000,127.0468265,35.7451529
보물,남원 선국사 건칠아미타여래좌상 및 복장유물,南原 善國寺 乾漆阿彌陀如來坐像 및 腹藏遺物,전북,남원시,"선국사, 금산사 성보박물관",12,35,0015170000000,127.3577725,35.4292582
보물,대방광원각수다라요의경 권1,大方廣圓覺脩多羅了義經 卷1,경기,용인시,대한불교조계종 백령사,12,31,0015180000000,0,0
보물,대방광원각수다라요의경,大方廣圓覺修多羅了義經,부산,부산진구,삼광사,12,21,0015180000200,0,0
보물,묘법연화경삼매참법 권상,妙法蓮華經三昧懺法 卷上,대전,유성구,성＊＊＊,12,25,0015190000000,0,0
보물,대불정여래밀인수증요의제보살만행수능엄경 권1,大佛頂如來密因修證了義諸菩薩萬行首楞嚴經 卷1,전남광주,순천시,순천대학교박물관,12,52,0015200000000,0,0
보물,경국대전 권3,經國大典 卷三,경기,안양시,황＊＊＊,12,31,0015210000100,0,0
보물,경국대전 권1∼2,經國大典 卷一∼二,서울,종로구,삼＊＊＊,12,11,0015210000200,0,0
보물,영산회상도,靈山會上圖,부산,서구,동아대학교박물관,12,21,0015220000000,129.0193361,35.1046988
보물,경주 불국사 석조,慶州 佛國寺 石槽,경북,경주시,불국사,12,37,0015230000000,129.332455776048,35.7895399154854
보물,서울 이윤탁 한글영비,서울 李允濯 한글靈碑,서울,노원구,성주이씨문경공파정자공문중,12,11,0015240000000,127.076754,37.645436
보물,금장요집경 권1~2,金藏要集經 卷一~二,부산,금정구,범어사,12,21,0015250000000,129.0922773,35.2429921
보물,부산 범어사 목조석가여래삼존좌상,釜山 梵魚寺 木造釋迦如來三尊坐像,부산,금정구,범어사,12,21,0015260000000,129.0922773,35.2429921
보물,충주 백운암 철조여래좌상,忠州 白雲庵 鐵造如來坐像,충북,충주시,백운암,12,33,0015270000000,127.9210881,37.1147586
보물,초조본 사두간진일태자이십팔수경,初雕本 舍頭諫晉日太子二十八宿經,서울,서대문구,연세대학교중앙도서관,12,11,0015280000000,126.9384179,37.5655342
보물,초조본 잡아비담심론 권9,初雕本 雜阿毗曇心論 卷九,서울,서대문구,연세대학교중앙도서관,12,11,0015290000000,126.9384179,37.5655342
보물,초조본 수용삼수요행법,初雕本 受用三水要行法,서울,서대문구,연세대학교중앙도서관,12,11,0015300000000,126.9394838,37.5646597
보물,영조 기로연·수작연도 병풍,英祖 耆老宴·受爵宴圖 屛風,서울,종로구,서울역사박물관,12,11,0015310000000,126.970428789102,37.5701486421235
보물,여주 효종 영릉재실,驪州 孝宗 寧陵齋室,경기,여주시,국가유산청 세종대왕유적관리소,12,31,0015320000000,127.610139,37.311191
보물,해동팔도봉화산악지도,海東八道烽火山岳地圖,서울,성북구,고려대학교도서관,12,11,0015330000000,0,0
보물,서궐도안,西闕圖案,서울,성북구,고려대학교박물관,12,11,0015340000000,0,0
보물,숙빈최씨 소령원도,淑嬪崔氏 昭寧園圖,경기,성남시,한국학중앙연구원,12,31,0015350000000,127.052183461948,37.3930295720453
보물,월중도,越中圖,경기,성남시,한국학중앙연구원,12,31,0015360000000,127.052183461948,37.3930295720453
보물,서북피아양계만리일람지도(2007),西北彼我兩界萬里一覽之圖(2007),서울,서초구,국립중앙도서관,12,11,0015370000100,127.00303781214,37.4974828311898
보물,서북피아양계만리일람지도(2008),西北彼我兩界萬里一覽之圖(2008),서울,관악구,서울대학교 규장각,12,11,0015370000200,126.95045327355,37.4623506678375
보물,동국대지도,東國大地圖,서울,용산구,국립중앙박물관,12,11,0015380000000,126.980350241652,37.5240413763397
보물,봉래유묵,蓬萊遺墨,서울,서대문구,연세대학교중앙도서관,12,11,0015390000000,126.9394838,37.5646597
보물,청자 표주박모양 주전자,靑磁 瓢形 注子,서울,관악구,호림박물관,12,11,0015400000000,126.9183525,37.4810717
보물,분청사기 상감모란양류문 병,粉靑沙器 象嵌牡丹楊柳文 甁,서울,관악구,호림박물관,12,11,0015410000000,126.9183525,37.4810717
보물,요계관방지도,遼薊關防地圖,서울,관악구,서울대학교 규장각,12,11,0015420000000,126.95045327355,37.4623506678375
보물,상교정본자비도량참법 권9~10,詳校正本慈悲道場懺法 卷九~十,충남,예산군,수덕사,12,34,0015430000100,0,0
보물,상교정본자비도량참법 권5,詳校正本慈悲道場懺法 卷五,경기,부천시,대＊＊＊,12,31,0015430000200,0,0
보물,상교정본자비도량참법 권4∼6,詳校正本慈悲道場懺法 卷四∼六,서울,중구,동국대학교중앙도서관,12,11,0015430000300,0,0
보물,나주 심향사 건칠아미타여래좌상,羅州 尋香寺 乾漆阿彌陀如來坐像,전남광주,나주시,심향사,12,36,0015440000000,126.7122294,35.0394608
보물,나주 불회사 건칠비로자나불좌상,羅州 佛會寺 乾漆毘盧遮那佛坐像,전남광주,나주시,불회사,12,36,0015450000000,126.8238304,34.9085234
보물,구례 천은사 금동불감,求禮 泉隱寺 金銅佛龕,전남광주,구례군,천은사,12,36,0015460000000,127.4762849,35.2737403
보물,해남 대흥사 금동관음보살좌상,海南 大興寺 金銅觀音菩薩坐像,전남광주,해남군,대흥사,12,36,0015470000000,126.5989274,34.5732516
보물,순천 송광사 목조석가여래삼존상 및 소조16나한상 일괄,順天 松廣寺 木造釋迦如來三尊像 및 塑造十六羅漢像 一括,전남광주,순천시,송광사,12,36,0015490000000,127.2756552,35.0021686
보물,여수 흥국사 목조석가여래삼존상,麗水 興國寺 木造釋迦如來三尊像,전남광주,여수시,흥국사,12,36,0015500000000,0,0
